Time,Date,Bat Calls
03:00,05-31-23,1.0
03:30,05-31-23,1.0
04:00,05-31-23,7.0
04:30,05-31-23,148.0
05:00,05-31-23,252.0
05:30,05-31-23,158.0
06:00,05-31-23,3.0
06:30,05-31-23,21.0
07:00,05-31-23,27.0
07:30,05-31-23,70.0
08:00,05-31-23,267.0
08:30,05-31-23,194.0
09:00,05-31-23,231.0
09:30,05-31-23,607.0
10:00,05-31-23,227.0
10:30,05-31-23,2496.0
11:00,05-31-23,1090.0
11:30,05-31-23,1.0
12:00,05-31-23,1.0
12:30,05-31-23,1.0
13:00,05-31-23,1.0
03:00,06-01-23,1.0
03:30,06-01-23,1.0
04:00,06-01-23,1.0
04:30,06-01-23,1283.0
05:00,06-01-23,555.0
05:30,06-01-23,264.0
06:00,06-01-23,351.0
06:30,06-01-23,648.0
07:00,06-01-23,174.0
07:30,06-01-23,133.0
08:00,06-01-23,41.0
08:30,06-01-23,86.0
09:00,06-01-23,163.0
09:30,06-01-23,397.0
10:00,06-01-23,24.0
10:30,06-01-23,32.0
11:00,06-01-23,35.0
11:30,06-01-23,2.0
12:00,06-01-23,1.0
12:30,06-01-23,1.0
13:00,06-01-23,1.0
03:00,06-02-23,1.0
03:30,06-02-23,1.0
04:00,06-02-23,1.0
04:30,06-02-23,430.0
05:00,06-02-23,60.0
05:30,06-02-23,34.0
06:00,06-02-23,95.0
06:30,06-02-23,114.0
07:00,06-02-23,34.0
07:30,06-02-23,10.0
08:00,06-02-23,27.0
08:30,06-02-23,20.0
09:00,06-02-23,22.0
09:30,06-02-23,22.0
10:00,06-02-23,27.0
10:30,06-02-23,14.0
11:00,06-02-23,10.0
11:30,06-02-23,1.0
12:00,06-02-23,1.0
12:30,06-02-23,1.0
13:00,06-02-23,1.0
03:00,06-03-23,1.0
03:30,06-03-23,1.0
04:00,06-03-23,1.0
04:30,06-03-23,544.0
05:00,06-03-23,133.0
05:30,06-03-23,105.0
06:00,06-03-23,12.0
06:30,06-03-23,12.0
07:00,06-03-23,37.0
07:30,06-03-23,1.0
08:00,06-03-23,19.0
08:30,06-03-23,1.0
09:00,06-03-23,79.0
09:30,06-03-23,41.0
10:00,06-03-23,1.0
10:30,06-03-23,16.0
11:00,06-03-23,4.0
11:30,06-03-23,1.0
12:00,06-03-23,4.0
12:30,06-03-23,1.0
13:00,06-03-23,1.0
03:00,06-04-23,1.0
03:30,06-04-23,1.0
04:00,06-04-23,1.0
04:30,06-04-23,864.0
05:00,06-04-23,142.0
05:30,06-04-23,104.0
06:00,06-04-23,194.0
06:30,06-04-23,34.0
07:00,06-04-23,37.0
07:30,06-04-23,92.0
08:00,06-04-23,119.0
08:30,06-04-23,701.0
09:00,06-04-23,1107.0
09:30,06-04-23,947.0
10:00,06-04-23,782.0
10:30,06-04-23,641.0
11:00,06-04-23,287.0
11:30,06-04-23,144.0
12:00,06-04-23,1.0
12:30,06-04-23,1.0
13:00,06-04-23,1.0
03:00,06-05-23,1.0
03:30,06-05-23,1.0
04:00,06-05-23,1.0
04:30,06-05-23,208.0
05:00,06-05-23,65.0
05:30,06-05-23,44.0
06:00,06-05-23,129.0
06:30,06-05-23,776.0
07:00,06-05-23,236.0
07:30,06-05-23,121.0
08:00,06-05-23,4.0
08:30,06-05-23,1.0
09:00,06-05-23,9.0
09:30,06-05-23,1.0
10:00,06-05-23,1.0
10:30,06-05-23,7.0
11:00,06-05-23,15.0
11:30,06-05-23,1.0
12:00,06-05-23,1.0
12:30,06-05-23,1.0
13:00,06-05-23,1.0
03:00,06-06-23,1.0
03:30,06-06-23,1.0
04:00,06-06-23,1.0
04:30,06-06-23,372.0
05:00,06-06-23,72.0
05:30,06-06-23,95.0
06:00,06-06-23,3.0
06:30,06-06-23,14.0
07:00,06-06-23,15.0
07:30,06-06-23,23.0
08:00,06-06-23,6.0
08:30,06-06-23,24.0
09:00,06-06-23,4.0
09:30,06-06-23,1.0
10:00,06-06-23,1.0
10:30,06-06-23,5.0
11:00,06-06-23,3.0
11:30,06-06-23,1.0
12:00,06-06-23,1.0
12:30,06-06-23,1.0
13:00,06-06-23,1.0
03:00,06-07-23,1.0
03:30,06-07-23,1.0
04:00,06-07-23,1.0
04:30,06-07-23,19.0
05:00,06-07-23,35.0
05:30,06-07-23,3.0
06:00,06-07-23,9.0
06:30,06-07-23,5.0
07:00,06-07-23,3.0
07:30,06-07-23,1.0
08:00,06-07-23,1.0
08:30,06-07-23,23.0
09:00,06-07-23,14.0
09:30,06-07-23,16.0
10:00,06-07-23,1.0
10:30,06-07-23,18.0
11:00,06-07-23,2.0
11:30,06-07-23,1.0
12:00,06-07-23,1.0
12:30,06-07-23,1.0
13:00,06-07-23,1.0
03:00,06-08-23,1.0
03:30,06-08-23,1.0
04:00,06-08-23,1.0
04:30,06-08-23,41.0
05:00,06-08-23,51.0
05:30,06-08-23,29.0
06:00,06-08-23,15.0
06:30,06-08-23,107.0
07:00,06-08-23,347.0
07:30,06-08-23,16.0
08:00,06-08-23,782.0
08:30,06-08-23,3158.0
09:00,06-08-23,2125.0
09:30,06-08-23,2374.0
10:00,06-08-23,5023.0
10:30,06-08-23,1186.0
11:00,06-08-23,1688.0
11:30,06-08-23,392.0
12:00,06-08-23,1.0
12:30,06-08-23,1.0
13:00,06-08-23,1.0
03:00,06-09-23,1.0
03:30,06-09-23,1.0
04:00,06-09-23,1.0
04:30,06-09-23,54.0
05:00,06-09-23,99.0
05:30,06-09-23,977.0
06:00,06-09-23,1358.0
06:30,06-09-23,902.0
07:00,06-09-23,293.0
07:30,06-09-23,607.0
08:00,06-09-23,51.0
08:30,06-09-23,776.0
09:00,06-09-23,1153.0
09:30,06-09-23,1882.0
10:00,06-09-23,1304.0
10:30,06-09-23,185.0
11:00,06-09-23,104.0
11:30,06-09-23,14.0
12:00,06-09-23,1.0
12:30,06-09-23,1.0
13:00,06-09-23,1.0
03:00,06-10-23,0.0
03:30,06-10-23,0.0
04:00,06-10-23,0.0
04:30,06-10-23,0.0
05:00,06-10-23,0.0
05:30,06-10-23,0.0
06:00,06-10-23,0.0
06:30,06-10-23,0.0
07:00,06-10-23,0.0
07:30,06-10-23,23.0
08:00,06-10-23,0.0
08:30,06-10-23,0.0
